DATE,output
8/1/1991,135.8421
9/1/1991,121.1796
10/1/1991,103.991
11/1/1991,91.9538
12/1/1991,89.0538
1/1/1992,90.4749
2/1/1992,110.6133
3/1/1992,131.6324
4/1/1992,135.0221
5/1/1992,142.8292
6/1/1992,158.0489
7/1/1992,146.7233
8/1/1992,143.6069
9/1/1992,126.9375
10/1/1992,109.5718
11/1/1992,99.4626
12/1/1992,93.3797
1/1/1993,95.3162
2/1/1993,123.4475
3/1/1993,133.615
4/1/1993,140.7857
5/1/1993,150.5406
6/1/1993,165.1695
7/1/1993,159.5486
8/1/1993,152.3671
9/1/1993,128.1708
10/1/1993,109.4669
11/1/1993,96.3849
12/1/1993,90.2632
1/1/1994,99.2907
2/1/1994,119.3564
3/1/1994,133.5832
4/1/1994,140.6639
5/1/1994,144.1202
6/1/1994,158.6417
7/1/1994,155.7931
8/1/1994,143.6872
9/1/1994,121.638
10/1/1994,110.6117
11/1/1994,103.0179
12/1/1994,95.2014
1/1/1995,103.8368
2/1/1995,121.6763
3/1/1995,138.2484
4/1/1995,149.784
5/1/1995,148.7856
6/1/1995,174.8589
7/1/1995,173.5983
8/1/1995,165.3565
9/1/1995,138.4467
10/1/1995,127.3982
11/1/1995,108.3057
12/1/1995,95.8602
1/1/1996,108.9325
2/1/1996,129.388
3/1/1996,145.3352
4/1/1996,151.4874
5/1/1996,156.6961
6/1/1996,183.8348
7/1/1996,169.0835
8/1/1996,152.7727
9/1/1996,136.223
10/1/1996,113.4587
11/1/1996,97.927
12/1/1996,95.028
1/1/1997,100.0898
2/1/1997,121.1977
3/1/1997,138.6552
4/1/1997,138.2974
5/1/1997,142.6488
6/1/1997,159.7336
7/1/1997,147.6753
8/1/1997,138.8392
9/1/1997,117.5832
10/1/1997,106.3645
11/1/1997,95.2365
12/1/1997,84.1254
1/1/1998,97.0967
2/1/1998,118.2302
3/1/1998,129.6972
4/1/1998,134.7557
5/1/1998,140.4067
6/1/1998,149.5166
7/1/1998,138.9677
8/1/1998,129.7379
9/1/1998,114.6279
10/1/1998,96.1962
11/1/1998,82.0063
12/1/1998,78.3864
1/1/1999,80.1747
2/1/1999,96.0681
3/1/1999,107.4477
4/1/1999,113.3607
5/1/1999,116.8671
6/1/1999,129.7375
7/1/1999,122.9301
8/1/1999,120.4942
9/1/1999,104.6657
10/1/1999,93.5764
11/1/1999,86.066
12/1/1999,81.232
1/1/2000,88.4004
2/1/2000,109.5155
3/1/2000,125.795
4/1/2000,138.227
5/1/2000,137.1866
6/1/2000,151.2023
7/1/2000,146.4451
8/1/2000,132.7254
9/1/2000,117.3124
10/1/2000,114.2263
11/1/2000,92.2064
12/1/2000,88.0751
1/1/2001,95.5858
2/1/2001,116.5182
3/1/2001,124.6017
4/1/2001,135.9046
5/1/2001,133.4008
6/1/2001,149.656
7/1/2001,142.2685
8/1/2001,135.0627
9/1/2001,128.1328
10/1/2001,114.5336
11/1/2001,104.543
12/1/2001,104.2296
1/1/2002,117.7961
2/1/2002,144.1222
3/1/2002,154.898
4/1/2002,166.836
5/1/2002,163.4275
6/1/2002,187.3847
7/1/2002,171.8312
8/1/2002,167.2483
9/1/2002,151.209
10/1/2002,137.5401
11/1/2002,116.3767
12/1/2002,108.5767
1/1/2003,124.366
2/1/2003,144.7273
3/1/2003,145.1268
4/1/2003,154.8621
5/1/2003,147.3581
6/1/2003,162.2808
7/1/2003,148.2282
8/1/2003,140.4181
9/1/2003,125.5305
10/1/2003,113.9055
11/1/2003,105.1339
12/1/2003,91.9173
1/1/2004,104.383
2/1/2004,127.2969
3/1/2004,142.0846
4/1/2004,149.5799
5/1/2004,150.8438
6/1/2004,167.9148
7/1/2004,156.8294
8/1/2004,152.8128
9/1/2004,143.0147
10/1/2004,139.1667
11/1/2004,120.0787
12/1/2004,111.2564
1/1/2005,130.2892
2/1/2005,146.3006
3/1/2005,158.9558
4/1/2005,170.7596
5/1/2005,168.7142
6/1/2005,195.4606
7/1/2005,190.3121
8/1/2005,179.1495
9/1/2005,154.2506
10/1/2005,145.6589
11/1/2005,123.4505
12/1/2005,109.0769
1/1/2006,126.3768
2/1/2006,138.231
3/1/2006,156.0309
4/1/2006,168.4211
